GAME_ID,SEED_LINK,PLAYER_ID,PLAYER_NAME,TEST_ID,SEED_NUMBER,SEED_MAP,SEED_TIME,SEED_MODE,TOTAL_SCORE
2,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,63e223415109acb72e8c3318,GabrielGeoo,MAY_24,1,An Arbitrary Russia,20,NMPZ,5028
3,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,60423e2590c952000182b4a0,Pigeon,MAY_24,1,An Arbitrary Russia,20,NMPZ,18461
4,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,662d0189162adfc26f7751ac,Looks Like Something I Luzon,MAY_24,1,An Arbitrary Russia,20,NMPZ,14213
5,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,6376f2fd270414a1000e1fbf,bobasucker,MAY_24,1,An Arbitrary Russia,20,NMPZ,6214
6,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,59e21e3539d85572801d5a5e,Sesquipedalism,MAY_24,1,An Arbitrary Russia,20,NMPZ,9599
7,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,5de7a59044d2a42f78156b33,しいな,MAY_24,1,An Arbitrary Russia,20,NMPZ,12693
8,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,5f3c49af588cd80001d51f51,bones,MAY_24,1,An Arbitrary Russia,20,NMPZ,13673
9,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,60859c21128efc0001559603,antidotess,MAY_24,1,An Arbitrary Russia,20,NMPZ,9302
10,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,5fe6c5e7ae5ccd000197c9e7,logan,MAY_24,1,An Arbitrary Russia,20,NMPZ,18599
11,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,62bfd10dea6140a9ef5f3224,Program,MAY_24,1,An Arbitrary Russia,20,NMPZ,18116
12,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,64899fdf6552c09cf38d9d8e,豆豆冖,MAY_24,1,An Arbitrary Russia,20,NMPZ,13664
13,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,605b1842045b9e0001837397,brunooo_ooo,MAY_24,1,An Arbitrary Russia,20,NMPZ,12506
14,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,5e8f73b22ad6cf6e8851b0ca,Tonito,MAY_24,1,An Arbitrary Russia,20,NMPZ,13790
15,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,63bc59f483352dc1648f8e9a,nevergiveup.,MAY_24,1,An Arbitrary Russia,20,NMPZ,14424
16,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,5c14f357ff3dc98d883d182c,[TNT] Kirania,MAY_24,1,An Arbitrary Russia,20,NMPZ,16142
17,https://www.geoguessr.com/challenge/jVr5gC0odqT8TgTe,5f66872ebcfad7000142d950,Phorcys,MAY_24,1,An Arbitrary Russia,20,NMPZ,14940
