PLAYER_ID,PLAYER_NAME,OVERALL_TOTAL_SCORE,OVERALL_ROUNDS_PLAYED,OVERALL_GAMES_PLAYED,OVERALL_ACCURACY,OVERALL_AVERAGE_GAME_SCORE,OVERALL_HIGHEST_HEDGE_STREAK,OVERALL_AVERAGE_HEDGE_STREAK,OVERALL_MEDIAN_GAME_SCORE,OVERALL_MEDIAN_ROUND_SCORE,NM_TOTAL_SCORE,NM_ROUNDS_PLAYED,NM_GAMES_PLAYED,NM_ACCURACY,NM_HIGHEST_HEDGE_STREAK,NM_AVERAGE_HEDGE_STREAK,NM_AVG_GAME_SCORE,NM_MEDIAN_GAME_SCORE,NMPZ_TOTAL_SCORE,NMPZ_ROUNDS_PLAYED,NMPZ_GAMES_PLAYED,NMPZ_ACCURACY,NMPZ_HIGHEST_HEDGE_STREAK,NMPZ_AVERAGE_HEDGE_STREAK,NMPZ_AVG_GAME_SCORE,NMPZ_MEDIAN_GAME_SCORE
57bf4cd109f2efd5dc9a11cc,Piskanaft,1700444,665,133,0.5114117293233083,12785,1,1,12593,2623,1462421,565,113,0.5176711504424779,1,1,12941.778761061947,12593,238023,100,20,0.476046,0,0,11901.15,12505.5
598e0f3d43a1435770463715,yeeboiiiiiiiiiiiiii,30973,10,2,0.61946,15486,0,0,15486.5,3306,30973,10,2,0.61946,0,0,15486.5,15486.5,,,,,,,,
59a362320ee41f7e90f3ce92,Wolftrekker (YT),123632,45,9,0.5494755555555556,13736,0,0,12967,2742,123632,45,9,0.5494755555555556,0,0,13736.888888888889,12967,,,,,,,,
59a99a3343a14357704a97a0,Kratsooo,638096,220,44,0.5800872727272727,14502,1,1,15092.5,3236,628877,215,43,0.5850018604651163,1,1,14625.046511627907,15190,9219,5,1,0.36876,0,0,9219,9219
59b6fa8456e5a24cf0c79c45,Bitcoin,91000,55,11,0.33090909090909093,8272,0,0,8159,1296,,,,,,,,,91000,55,11,0.33090909090909093,0,0,8272.727272727272,8159
59d0b74bd8fe1d5b30651962,Debre,345511,100,20,0.691022,17275,1,1,16889,3713.5,345511,100,20,0.691022,1,1,17275.55,16889,,,,,,,,
59e21e3539d85572801d5a5e,Sesquipedalism,1440050,500,100,0.57602,14400,2,1.33,14551.5,3246,938833,300,60,0.6258886666666666,2,1.33,15647.216666666667,15779,501217,200,40,0.501217,0,0,12530.425,12620.5
59fc5f5c39d8552a6c5e81a2,Simi,242313,95,19,0.5101326315789474,12753,0,0,13236,2614,242313,95,19,0.5101326315789474,0,0,12753.315789473685,13236,,,,,,,,
5a33d4491cbd1560d0eaed6b,tozangezan,514115,200,40,0.514115,12852,1,1,13092.5,2613.5,514115,200,40,0.514115,1,1,12852.875,13092.5,,,,,,,,
5a54c41257f1750a400b7a26,oscar,151712,110,22,0.27584,6896,0,0,6924.5,1037,11187,5,1,0.44748,0,0,11187,11187,140525,105,21,0.26766666666666666,0,0,6691.666666666667,6787
5aa25c6242305f89a0f9633a,qwwinkii,109878,50,10,0.439512,10987,0,0,10678,2038.5,21356,10,2,0.42712,0,0,10678,10678,88522,40,8,0.44261,0,0,11065.25,10406
5b4899f5b56fe41a1831bba4,Lennli,565593,200,40,0.565593,14139,0,0,13733.5,2765.5,282086,100,20,0.564172,0,0,14104.3,14022.5,283507,100,20,0.567014,0,0,14175.35,13733.5
