PLAYER_ID,PLAYER_NAME,TOTAL_SCORE,ROUNDS_PLAYED,GAMES_PLAYED,ACCURACY,HIGHEST_HEDGE_STREAK,AVERAGE_HEDGE_STREAK
57bf4cd109f2efd5dc9a11cc,Piskanaft,3075151,1115,223,0.5515965919282512,3,1.25
596df53df8017993f0ed9eae,VulgarPotato,251867,100,20,0.503734,0,0
598e0f3d43a1435770463715,yeeboiiiiiiiiiiiiii,30973,10,2,0.61946,0,0
59a362320ee41f7e90f3ce92,Wolftrekker (YT),123632,45,9,0.5494755555555556,0,0
59a99a3343a14357704a97a0,Kratsooo,628877,215,43,0.5850018604651163,1,1
59d0b74bd8fe1d5b30651962,Debre,345511,100,20,0.691022,1,1
59e21e3539d85572801d5a5e,Sesquipedalism,938833,300,60,0.6258886666666666,2,1.33
59fc5f5c39d8552a6c5e81a2,Simi,242313,95,19,0.5101326315789474,0,0
5a33d4491cbd1560d0eaed6b,tozangezan,514115,200,40,0.514115,1,1
5a54c41257f1750a400b7a26,oscar,151969,80,16,0.3799225,0,0
5a973147afad0f2a68438531,Kapten,197452,55,11,0.7180072727272727,1,1
5aa25c6242305f89a0f9633a,qwwinkii,95191,35,7,0.5439485714285714,0,0
5b43f96e7a2b425ef47c01f7,Vulcairn,14555,10,2,0.2911,0,0
5b4899f5b56fe41a1831bba4,Lennli,282086,100,20,0.564172,0,0
5b51062a4010740f7cd91dd5,Blinky,133465,40,8,0.667325,0,0
5b7cfb7b602b2e3a94fbb968,𝘚𝘭𝘪𝘷𝘦𝘳,417747,155,31,0.5390283870967741,1,1
5bf491faaac55b998458ed9a,mk,1494966,455,91,0.6571279120879121,2,1.25
5bf5520fb5b94ba640fa7a29,Burgo,140995,45,9,0.6266444444444444,1,1
5c03eed1b5b94ba700403005,Finbarr,1713523,445,89,0.7701226966292135,5,1.74
5c04ec3b43196563803ba61f,V89,2518920,725,145,0.6948744827586207,3,1.26
5c14f357ff3dc98d883d182c,[TNT] Kirania,2414945,800,160,0.60373625,3,1.27
5c44c39898004e833c65f405,D3rL30p4rd,63199,25,5,0.505592,0,0
5c61c05b3d925ba81408c135,Sadziu,305361,100,20,0.610722,1,1
5ce9a9b0b741f8576819ddb6,Max,45169,15,3,0.6022533333333333,0,0
5d04bea46502df83cc2a542f,Kewin,1379224,505,101,0.5462273267326733,1,1
5d1f1dea2ea9399fe46edc5c,ronaq,218097,70,14,0.6231342857142858,2,1.5
5d46fa671d34a0315c268ad0,[TNT] TreezErik,13378,5,1,0.53512,0,0
5d91d1dfee473fc2e437b577,eenrandommens,325198,105,21,0.6194247619047619,1,1
5ddd2840db02e1948493a2a0,Illusion,4560780,1150,230,0.7931791304347826,12,2.49
5de7a59044d2a42f78156b33,しいな,2563996,775,155,0.6616763870967742,2,1.14
5e22476fdba510714ce478df,Melting Ice,634737,210,42,0.6045114285714286,1,1
5e2e983722bbda85a40e9009,Eamonn,2342003,770,154,0.6083124675324675,3,1.2
5e3b0e14dba5103fdccf2e4e,lemontree,1802657,800,160,0.45066425,1,1
5e62fc4f8fd6cf1b0056adaa,PenRaiser_SB_32,71468,25,5,0.571744,1,1
5e6bd352b3ec1786bc33f817,❤GeoPsique❤,63377,30,6,0.42251333333333335,0,0
5e7054fd2ad6cf16ec368ce1,dev,281325,100,20,0.56265,0,0
5e8e59292ad6cf212829d2bb,Happy Birthday,357168,175,35,0.408192,0,0
5e8f73b22ad6cf6e8851b0ca,Tonito,1522635,495,99,0.6152060606060606,3,1.2
5e9662142ad6cfadc8e2db9d,PechSP_,22497,10,2,0.44994,0,0
5e9764acd502e1472c1b694d,Alphy,202868,100,20,0.405736,0,0
5eb8f59b318e46ab803dcba4,ᚱᚮᛐᛍᚴᛁ,60867,45,9,0.27052,0,0
5ec26de5a789c45a9c13cf3c,sp4ghet,159596,50,10,0.638384,1,1
5eccd6d68d6ade72cc836cb8,Šťýдēňț,136789,60,12,0.45596333333333333,0,0
5ed7d66d5d34e779bccc6590,kirilka,34789,10,2,0.69578,0,0
5ee933f15426a914442197e4,Jeif,1131755,295,59,0.7672915254237288,6,1.67
5eedb3d29d57a84ae09c4290,Hydro,100462,55,11,0.36531636363636366,0,0
5f07412b8551644f80314987,hyacinthsj,702132,230,46,0.6105495652173913,1,1
5f172e581874328b38c066f7,flipster22,622998,210,42,0.5933314285714286,1,1
5f29c8819762af0001d89a97,Capi,69493,25,5,0.555944,0,0
5f3c49af588cd80001d51f51,bones,1774220,540,108,0.6571185185185185,2,1.07
5f66872ebcfad7000142d950,Phorcys,3058416,1150,230,0.5318984347826087,1,1
5f85ce00fc3aec0001758b8d,Xander,907519,300,60,0.6050126666666666,1,1
5f903357aae2c100010dbdd4,nestor,16457,5,1,0.65828,0,0
5f91a2db3d05310001d589c3,Daan,157181,100,20,0.314362,0,0
5f9adbbe6ca2e400010530f4,Pup,110013,100,20,0.220026,0,0
5fa7ab03b45c670001342904,kent,3250804,1030,206,0.631224077669903,2,1.22
5fe6c5e7ae5ccd000197c9e7,logan,4291884,1140,228,0.7529621052631579,6,1.88
5ff0a98c0c42b3000156c799,Alexeycraggy,597143,210,42,0.568707619047619,1,1
5ff10c165de5560001f37f9d,vaivod,89986,35,7,0.5142057142857143,0,0
5ff879f9ce04930001f6ee64,Firma,296906,115,23,0.5163582608695653,0,0
5ffa660ae8ee080001350d46,AlphaZero4000,119394,50,10,0.477576,0,0
5ffb5e4975d2770001545cf5,Geooo,1273384,395,79,0.6447513924050633,3,1.38
60069f898c6114000112b409,icepelican,1353362,600,120,0.45112066666666667,1,1
600801c48b224300016f36fd,Mada,74909,25,5,0.599272,0,0
6016ae33d48bd30001e71782,[TNT] Diablo,84268,25,5,0.674144,0,0
601ab5166d405900012c6669,Matteo Kinkela,150345,100,20,0.30069,0,0
601f1d75228a5e00019741e1,davedavedave,1295312,440,88,0.5887781818181819,1,1
60254c17b8832e000134884b,jason543,418704,160,32,0.52338,1,1
602c2727cf4011000175b4ee,morica,608776,240,48,0.5073133333333333,1,1
603b1b0d5cdb1b0001bbf19e,Moo,20822,5,1,0.83288,1,1
603cd68ed3dc740001d9dc4b,devens,135512,55,11,0.4927709090909091,0,0
603e28ef0297940001b93db1,fatslump(washed),70133,25,5,0.561064,0,0
603ea83990c952000180974c,TabBluu.,340127,105,21,0.6478609523809524,2,1.33
60423e2590c952000182b4a0,Pigeon,1442208,430,86,0.6707944186046512,1,1
6053be97302f9500010c3c4c,marcel,33434,20,4,0.33434,0,0
6056fd798ddd1c00018baf23,Trabota,1662736,450,90,0.7389937777777777,3,1.32
605b1842045b9e0001837397,brunooo_ooo,2401868,800,160,0.600467,2,1.1
6060aef763c4b80001aae836,Jasper,373433,195,39,0.3830082051282051,0,0
6061d595010c4e000197240f,bakonysanchez,77891,40,8,0.389455,0,0
606402814f3a8e00016f860e,Dyll,104000,50,10,0.416,0,0
606a0edba9cfc800017a0f46,S Ricciardi,54332,25,5,0.434656,0,0
607334e1fec6f00001f676a2,hoki,45804,20,4,0.45804,0,0
60806a19bafa9b000125bcc7,malfunctionn,542803,220,44,0.49345727272727274,0,0
608168d3f5fe530001aec797,kaiser,838548,530,106,0.3164332075471698,0,0
60859c21128efc0001559603,antidotess,313924,100,20,0.627848,1,1
6098f58ffac408000119da5a,Cassa,589970,430,86,0.2744046511627907,0,0
60995f8f8eb3fe0001e057c2,Starc,440704,175,35,0.5036617142857143,1,1
