RECORD_TYPE,PLAYER_ID,PLAYER_NAME,STAT,start_seed_link,end_seed_link,start_test_id,end_test_id,start_seed_number,end_seed_number,PLACEMENT
GAME_SCORE,6201965f19c16500017cd2ce,アキナトル,24803,https://www.geoguessr.com/challenge/e4zOIbyaezWBERl8,https://www.geoguessr.com/challenge/e4zOIbyaezWBERl8,JUN_24,JUN_24,9,9,1
GAME_SCORE,6201965f19c16500017cd2ce,アキナトル,24541,https://www.geoguessr.com/challenge/1ToXWNKeKyZ5Vlzc,https://www.geoguessr.com/challenge/1ToXWNKeKyZ5Vlzc,JAN_24,JAN_24,4,4,2
GAME_SCORE,6201965f19c16500017cd2ce,アキナトル,24527,https://www.geoguessr.com/challenge/QBG8kt9AZUUitbKa,https://www.geoguessr.com/challenge/QBG8kt9AZUUitbKa,JUN_24,JUN_24,10,10,3
GAME_SCORE,5fe6c5e7ae5ccd000197c9e7,logan,24406,https://www.geoguessr.com/challenge/t9ixeFxGjCNLVAIG,https://www.geoguessr.com/challenge/t9ixeFxGjCNLVAIG,FEB_24,FEB_24,8,8,4
GAME_SCORE,63b6e8ccb8148b72cafa0adb,KZT,24374,https://www.geoguessr.com/challenge/aPcRDCdeLETrdT8W,https://www.geoguessr.com/challenge/aPcRDCdeLETrdT8W,JUN_24,JUN_24,14,14,5
GAME_SCORE,5ddd2840db02e1948493a2a0,Illusion,24354,https://www.geoguessr.com/challenge/e4zOIbyaezWBERl8,https://www.geoguessr.com/challenge/e4zOIbyaezWBERl8,JUN_24,JUN_24,9,9,6
GAME_SCORE,6201965f19c16500017cd2ce,アキナトル,24226,https://www.geoguessr.com/challenge/K9RglrVMJgEVgnwb,https://www.geoguessr.com/challenge/K9RglrVMJgEVgnwb,MAR_24,MAR_24,19,19,7
GAME_SCORE,5f3c49af588cd80001d51f51,bones,24207,https://www.geoguessr.com/challenge/HbBrMP1uSSIQg4DE,https://www.geoguessr.com/challenge/HbBrMP1uSSIQg4DE,MAY_24,MAY_24,20,20,8
GAME_SCORE,5c03eed1b5b94ba700403005,Finbarr,24198,https://www.geoguessr.com/challenge/Cnvijcfi1uqDYPaL,https://www.geoguessr.com/challenge/Cnvijcfi1uqDYPaL,AUG_23,AUG_23,6,6,9
GAME_SCORE,63b6e8ccb8148b72cafa0adb,KZT,24191,https://www.geoguessr.com/challenge/O1d5XmN8OUzqyFZm,https://www.geoguessr.com/challenge/O1d5XmN8OUzqyFZm,JUL_24,JUL_24,8,8,10
LARGEST_COOK,60a55176895a250001d9e2d8,emshanoff,8053,https://www.geoguessr.com/challenge/vdZ5bFTTkI7v20nW,https://www.geoguessr.com/challenge/vdZ5bFTTkI7v20nW,FEB_24,FEB_24,19,19,1
LARGEST_COOK,5ddd2840db02e1948493a2a0,Illusion,7195,https://www.geoguessr.com/challenge/RVtlNlIELGt1AMev,https://www.geoguessr.com/challenge/RVtlNlIELGt1AMev,MAY_24,MAY_24,11,11,2
LARGEST_COOK,60a55176895a250001d9e2d8,emshanoff,5766,https://www.geoguessr.com/challenge/8H9dcyGs9MRPMV2r,https://www.geoguessr.com/challenge/8H9dcyGs9MRPMV2r,NOV_23,NOV_23,14,14,3
LARGEST_COOK,5c03eed1b5b94ba700403005,Finbarr,5707,https://www.geoguessr.com/challenge/Eu3QDmJavz32pcex,https://www.geoguessr.com/challenge/Eu3QDmJavz32pcex,DEC_23,DEC_23,11,11,4
LARGEST_COOK,63b6e8ccb8148b72cafa0adb,KZT,4909,https://www.geoguessr.com/challenge/Q9bCMb2aoA6QVNeH,https://www.geoguessr.com/challenge/Q9bCMb2aoA6QVNeH,JUL_24,JUL_24,15,15,5
LARGEST_COOK,6201965f19c16500017cd2ce,アキナトル,4535,https://www.geoguessr.com/challenge/KEX2aGAVT00bF2o5,https://www.geoguessr.com/challenge/KEX2aGAVT00bF2o5,MAR_24,MAR_24,1,1,6
LARGEST_COOK,5c03eed1b5b94ba700403005,Finbarr,4500,https://www.geoguessr.com/challenge/jrBu97ea9sCmD90Q,https://www.geoguessr.com/challenge/jrBu97ea9sCmD90Q,DEC_23,DEC_23,8,8,7
LARGEST_COOK,5fe6c5e7ae5ccd000197c9e7,logan,4154,https://www.geoguessr.com/challenge/kw06tCDMJGpPpo1w,https://www.geoguessr.com/challenge/kw06tCDMJGpPpo1w,MAY_24,MAY_24,9,9,8
LARGEST_COOK,63b6e8ccb8148b72cafa0adb,KZT,3964,https://www.geoguessr.com/challenge/CRPX6XxASitrOHii,https://www.geoguessr.com/challenge/CRPX6XxASitrOHii,AUG_24,AUG_24,17,17,9
LARGEST_COOK,63b6e8ccb8148b72cafa0adb,KZT,3949,https://www.geoguessr.com/challenge/yxZnLaps0OYpPOgk,https://www.geoguessr.com/challenge/yxZnLaps0OYpPOgk,AUG_24,AUG_24,11,11,10
TEST_STDEV_NMPZ,5fe6c5e7ae5ccd000197c9e7,logan,1400.6042861038902,,,MAR_24,MAR_24,,,10
TEST_STDEV_NMPZ,6201965f19c16500017cd2ce,アキナトル,1395.4111989089108,,,MAR_24,MAR_24,,,9
TEST_STDEV_NMPZ,60e6fefd864e960001667155,ĐɄ§ҜƦØИ,1394.789374744083,,,MAR_24,MAR_24,,,8
TEST_STDEV_NMPZ,5fe6c5e7ae5ccd000197c9e7,logan,1390.5477206969035,,,DEC_23,DEC_23,,,7
TEST_STDEV_NMPZ,62c0257a2e7b083b8fb3ffdf,yark,1381.7951621111104,,,DEC_23,DEC_23,,,6
TEST_STDEV_NMPZ,5ee933f15426a914442197e4,Jeif,1360.6756275299551,,,DEC_23,DEC_23,,,5
TEST_STDEV_NMPZ,6201965f19c16500017cd2ce,アキナトル,1355.868268496299,,,DEC_23,DEC_23,,,4
TEST_STDEV_NMPZ,5ddd2840db02e1948493a2a0,Illusion,1288.248474174187,,,MAY_24,MAY_24,,,3
TEST_STDEV_NMPZ,5a54c41257f1750a400b7a26,oscar,1286.6209084342606,,,MAR_24,MAR_24,,,2
TEST_STDEV_NMPZ,5ddd2840db02e1948493a2a0,Illusion,1216.7969419668173,,,MAR_24,MAR_24,,,1
TEST_STDEV_NM,5fe6c5e7ae5ccd000197c9e7,logan,1068.1390595353446,,,JUN_24,JUN_24,,,10
TEST_STDEV_NM,6201965f19c16500017cd2ce,アキナトル,1053.4075472033844,,,SEP_23,SEP_23,,,9
TEST_STDEV_NM,5fe6c5e7ae5ccd000197c9e7,logan,1051.1270247316506,,,JUL_24,JUL_24,,,8
TEST_STDEV_NM,60a55176895a250001d9e2d8,emshanoff,1031.1150627971995,,,FEB_24,FEB_24,,,7
TEST_STDEV_NM,6201965f19c16500017cd2ce,アキナトル,1012.9977882951715,,,JUN_24,JUN_24,,,6
TEST_STDEV_NM,5ddd2840db02e1948493a2a0,Illusion,995.2982117958619,,,FEB_24,FEB_24,,,5
TEST_STDEV_NM,6201965f19c16500017cd2ce,アキナトル,953.7319037883746,,,JUL_24,JUL_24,,,4
TEST_STDEV_NM,5ddd2840db02e1948493a2a0,Illusion,947.9047827560092,,,JUL_24,JUL_24,,,3
TEST_STDEV_NM,5ddd2840db02e1948493a2a0,Illusion,939.5919494196091,,,JUN_24,JUN_24,,,2
TEST_STDEV_NM,5ddd2840db02e1948493a2a0,Illusion,900.8402283816521,,,APR_24,APR_24,,,1
TOP_3_FINISH,5c03eed1b5b94ba700403005,Finbarr,20,,,OCT_23,OCT_23,,,1
TOP_3_FINISH,5ddd2840db02e1948493a2a0,Illusion,15,,,JUL_24,JUL_24,,,2
TOP_3_FINISH,5ddd2840db02e1948493a2a0,Illusion,14,,,APR_24,APR_24,,,3
TOP_3_FINISH,5ddd2840db02e1948493a2a0,Illusion,14,,,MAY_24,MAY_24,,,4
TOP_3_FINISH,5fe6c5e7ae5ccd000197c9e7,logan,13,,,MAY_24,MAY_24,,,5
TOP_3_FINISH,5ddd2840db02e1948493a2a0,Illusion,13,,,OCT_23,OCT_23,,,6
HEDGE,5ddd2840db02e1948493a2a0,Illusion,12,https://www.geoguessr.com/challenge/m9vlExdQUamBw93o,https://www.geoguessr.com/challenge/k3qDIgr9sitetfSY,JUL_24,JUL_24,3,14,1
TOP_3_FINISH,5fe6c5e7ae5ccd000197c9e7,logan,12,,,JUL_24,JUL_24,,,7
TOP_3_FINISH,6201965f19c16500017cd2ce,アキナトル,12,,,OCT_23,OCT_23,,,8
TOP_3_FINISH,5c03eed1b5b94ba700403005,Finbarr,11,,,DEC_23,DEC_23,,,9
TOP_3_FINISH,5ddd2840db02e1948493a2a0,Illusion,11,,,FEB_24,FEB_24,,,10
HEDGE,6201965f19c16500017cd2ce,アキナトル,8,https://www.geoguessr.com/challenge/F8ClTgDaUmlB45Zx,https://www.geoguessr.com/challenge/8Y3qRw3dUchSAGaz,FEB_24,FEB_24,11,18,2
HEDGE,5ddd2840db02e1948493a2a0,Illusion,8,https://www.geoguessr.com/challenge/waaEaMncfHxgpfEz,https://www.geoguessr.com/challenge/6KeLIhq2DOq1WxF8,MAR_24,APR_24,18,5,3
HEDGE,5ddd2840db02e1948493a2a0,Illusion,7,https://www.geoguessr.com/challenge/6xWaHWLvGbSkNZ2G,https://www.geoguessr.com/challenge/t9ixeFxGjCNLVAIG,FEB_24,FEB_24,2,8,4
HEDGE,63b6e8ccb8148b72cafa0adb,KZT,7,https://www.geoguessr.com/challenge/O9yXCiJbXLxZ4v3B,https://www.geoguessr.com/challenge/QBG8kt9AZUUitbKa,JUN_24,JUN_24,4,10,5
HEDGE,5ddd2840db02e1948493a2a0,Illusion,7,https://www.geoguessr.com/challenge/yysA6KhJYluqaJ9W,https://www.geoguessr.com/challenge/N1dHsZkZ28zXY7hG,JUN_24,JUL_24,15,1,6
TOP_FINISH,5ddd2840db02e1948493a2a0,Illusion,7,,,APR_24,APR_24,,,1
TOP_FINISH,5c03eed1b5b94ba700403005,Finbarr,7,,,AUG_23,AUG_23,,,2
TOP_FINISH,5ddd2840db02e1948493a2a0,Illusion,7,,,MAY_24,MAY_24,,,3
TOP_FINISH,5c03eed1b5b94ba700403005,Finbarr,7,,,OCT_23,OCT_23,,,4
HEDGE,5fe6c5e7ae5ccd000197c9e7,logan,6,https://www.geoguessr.com/challenge/v7rOMVTUaTrXhHaM,https://www.geoguessr.com/challenge/ZmWzrp69ZU4F2KsW,JUL_24,JUL_24,6,11,7
HEDGE,5fe6c5e7ae5ccd000197c9e7,logan,6,https://www.geoguessr.com/challenge/2Yb4Alt0Gyup3Ozg,https://www.geoguessr.com/challenge/N1dHsZkZ28zXY7hG,JUN_24,JUL_24,16,1,8
TOP_FINISH,5ddd2840db02e1948493a2a0,Illusion,6,,,JUL_24,JUL_24,,,5
TOP_FINISH,6201965f19c16500017cd2ce,アキナトル,6,,,OCT_23,OCT_23,,,6
HEDGE,63b6e8ccb8148b72cafa0adb,KZT,5,https://www.geoguessr.com/challenge/4KhZbS7d99pwgssR,https://www.geoguessr.com/challenge/eBu9ZXjikZRXeP7Y,APR_24,APR_24,12,16,9
HEDGE,5ddd2840db02e1948493a2a0,Illusion,5,https://www.geoguessr.com/challenge/7AoPpDhdJ0wfXN9X,https://www.geoguessr.com/challenge/LKpsvwp18qnzCj3a,APR_24,APR_24,13,17,10
TOP_FINISH,5c03eed1b5b94ba700403005,Finbarr,5,,,DEC_23,DEC_23,,,7
TOP_FINISH,5ddd2840db02e1948493a2a0,Illusion,5,,,FEB_24,FEB_24,,,8
TOP_FINISH,6201965f19c16500017cd2ce,アキナトル,5,,,FEB_24,FEB_24,,,9
TOP_FINISH,5ddd2840db02e1948493a2a0,Illusion,5,,,JAN_24,JAN_24,,,10
TEST_ACCURACY,5ddd2840db02e1948493a2a0,Illusion,0.850558,,,APR_24,APR_24,20,,1
TEST_ACCURACY_NM,5ddd2840db02e1948493a2a0,Illusion,0.850558,,,APR_24,APR_24,20,,1
TEST_ACCURACY,63b6e8ccb8148b72cafa0adb,KZT,0.84652,,,JUN_24,JUN_24,20,,2
TEST_ACCURACY_NM,63b6e8ccb8148b72cafa0adb,KZT,0.84652,,,JUN_24,JUN_24,20,,2
TEST_ACCURACY,5fe6c5e7ae5ccd000197c9e7,logan,0.84456,,,JUN_24,JUN_24,20,,3
TEST_ACCURACY_NM,5fe6c5e7ae5ccd000197c9e7,logan,0.84456,,,JUN_24,JUN_24,20,,3
TEST_ACCURACY,5ddd2840db02e1948493a2a0,Illusion,0.842048,,,JUL_24,JUL_24,20,,4
TEST_ACCURACY_NM,5ddd2840db02e1948493a2a0,Illusion,0.842048,,,JUL_24,JUL_24,20,,4
TEST_ACCURACY,5ddd2840db02e1948493a2a0,Illusion,0.840334,,,JUN_24,JUN_24,20,,5
TEST_ACCURACY_NM,5ddd2840db02e1948493a2a0,Illusion,0.840334,,,JUN_24,JUN_24,20,,5
TEST_ACCURACY,6201965f19c16500017cd2ce,アキナトル,0.827838,,,JUN_24,JUN_24,20,,6
TEST_ACCURACY_NM,6201965f19c16500017cd2ce,アキナトル,0.827838,,,JUN_24,JUN_24,20,,6
TEST_ACCURACY,5fe6c5e7ae5ccd000197c9e7,logan,0.818382,,,JUL_24,JUL_24,20,,7
TEST_ACCURACY_NM,5fe6c5e7ae5ccd000197c9e7,logan,0.818382,,,JUL_24,JUL_24,20,,7
TEST_ACCURACY,6201965f19c16500017cd2ce,アキナトル,0.81725,,,JUL_24,JUL_24,16,,8
TEST_ACCURACY_NM,6201965f19c16500017cd2ce,アキナトル,0.81725,,,JUL_24,JUL_24,16,,8
TEST_ACCURACY,5ddd2840db02e1948493a2a0,Illusion,0.814986,,,FEB_24,FEB_24,20,,9
TEST_ACCURACY_NM,5ddd2840db02e1948493a2a0,Illusion,0.814986,,,FEB_24,FEB_24,20,,9
TEST_ACCURACY,63b6e8ccb8148b72cafa0adb,KZT,0.813464,,,JUL_24,JUL_24,20,,10
TEST_ACCURACY_NM,63b6e8ccb8148b72cafa0adb,KZT,0.813464,,,JUL_24,JUL_24,20,,10
TEST_ACCURACY_NMPZ,5ddd2840db02e1948493a2a0,Illusion,0.76226,,,MAR_24,MAR_24,20,,1
TEST_ACCURACY_NMPZ,5ddd2840db02e1948493a2a0,Illusion,0.758902,,,MAY_24,MAY_24,20,,2
TEST_ACCURACY_NMPZ,5c03eed1b5b94ba700403005,Finbarr,0.750772,,,DEC_23,DEC_23,20,,3
TEST_ACCURACY_NMPZ,6201965f19c16500017cd2ce,アキナトル,0.746702,,,MAR_24,MAR_24,20,,4
TEST_ACCURACY_NMPZ,6201965f19c16500017cd2ce,アキナトル,0.745162,,,DEC_23,DEC_23,20,,5
TEST_ACCURACY_NMPZ,5fe6c5e7ae5ccd000197c9e7,logan,0.72911,,,MAY_24,MAY_24,20,,6
TEST_ACCURACY_NMPZ,5ddd2840db02e1948493a2a0,Illusion,0.720284,,,DEC_23,DEC_23,20,,7
TEST_ACCURACY_NMPZ,5ee933f15426a914442197e4,Jeif,0.7084885714285715,,,DEC_23,DEC_23,14,,8
TEST_ACCURACY_NMPZ,63b6e8ccb8148b72cafa0adb,KZT,0.704366,,,MAR_24,MAR_24,20,,9
TEST_ACCURACY_NMPZ,5fe6c5e7ae5ccd000197c9e7,logan,0.700238,,,DEC_23,DEC_23,20,,10
