SUBDIVISION,TOTAL_OCCURRENCES,TOTAL_ROUNDS,UNIQUE_PLAYERS,AVERAGE_SCORE,SCORE_STDEV
Moscow Oblast,33,4955,119,2768.9362260343087,1613.3457156960121
Sakhalin Oblast,31,4745,105,2972.079030558483,1660.478923471367
Leningradskaya Oblast',29,4465,129,3007.268980963046,1592.6148490217254
Primorye,29,4620,128,2872.3770562770565,1698.9323717311436
Buryatiya Republic,27,4010,109,3018.7002493765585,1672.8595555793695
Yamalo-Nenets,26,3705,103,3031.033198380567,1565.8820538135117
Krasnoyarsk Krai,25,3750,127,2931.5578666666665,1655.083530213742
Komi,25,3900,120,2923.550769230769,1581.4646235776547
Murmansk,25,3850,113,2911.3836363636365,1609.8126605831467
Karelia,25,3850,114,2878.833246753247,1610.1887166113313
Nizhny Novgorod Oblast,25,3890,113,2844.972236503856,1520.0984040837893
Saratov Oblast,24,3960,121,2973.3098484848483,1565.7446749309818
Bashkortostan Republic,24,3850,110,2864.530909090909,1654.1220042332986
Kuzbass,24,3550,109,2858.472957746479,1741.0952854254379
Sakha,23,3280,98,2913.225304878049,1661.8955092571045
Kamchatka,22,3385,114,3050.7317577548006,1739.725525511711
Volgograd Oblast,22,3110,103,2991.9639871382637,1521.0541341743647
Krasnodar Krai,22,3560,120,2937.8474719101123,1568.412394728322
Rostov,22,3475,109,2936.132086330935,1519.4672482092335
Zabaykalskiy (Transbaikal) Kray,22,3385,106,2924.7982274741507,1665.9988498074165
Irkutsk Oblast,22,3155,115,2848.8120443740095,1698.7406409768969
Perm Krai,21,2960,96,3012.4554054054056,1597.3702449221566
Arkhangelskaya,21,3325,115,2750.4448120300754,1600.3123320267807
Novosibirsk Oblast,21,3165,106,2655.0957345971565,1725.0071637548356
Smolensk Oblast,20,2910,102,2970.6079037800687,1538.5734562513333
Omsk Oblast,20,2940,107,2945.448639455782,1683.3364998870225
Orenburg Oblast,20,3180,116,2842.3713836477987,1643.790221584656
Kostroma Oblast,20,3000,102,2797.7186666666666,1594.4969209288413
Altai,19,2860,107,3074.21013986014,1642.137260847465
Tver Oblast,19,3020,114,2932.4046357615894,1504.8947829642705
Amur Oblast,19,2870,105,2916.225087108014,1546.8566621726525
Kirov Oblast,19,2795,109,2889.430053667263,1533.6746118567141
Khanty-Mansia,19,2740,96,2877.0653284671534,1590.1522684865959
Voronezh Oblast,19,3020,109,2849.541059602649,1591.5846988495844
Stavropol Kray,19,2955,121,2816.638578680203,1643.7759393386227
Chelyabinsk,19,3145,107,2601.1033386327504,1633.0087272126273
Sverdlovsk Oblast,18,2640,109,2716.6670454545456,1635.4060044430994
Dagestan,17,2615,106,3078.0982791587,1626.3944796214478
Vladimir Oblast,17,2490,99,2994.6746987951806,1570.3957287198464
Magadan Oblast,17,2840,102,2927.542957746479,1647.2228240154545
Khabarovsk,17,2710,94,2912.8867158671587,1671.615867416888
Ulyanovsk,17,2540,109,2857.107874015748,1556.6092511623274
Altai Krai,17,2505,103,2667.057085828343,1744.7173771366313
Astrakhan Oblast,16,2720,116,2936.9422794117645,1607.2913424566134
Novgorod Oblast,16,2395,96,2787.850104384134,1580.079174991938
Republic of Tyva,15,2230,94,3079.657399103139,1581.5487213364465
Jewish Autonomous Oblast,15,2115,93,2955.5106382978724,1671.1631572392255
Tatarstan Republic,15,2130,95,2908.320187793427,1559.0973579793479
Vologda Oblast,15,2405,101,2849.729313929314,1575.1570614732657
Tula Oblast,15,2305,98,2744.8624728850327,1650.8462255700606
Khakasiya Republic,14,2140,99,3051.782710280374,1577.092352643461
Kaliningrad Oblast,14,2265,105,2870.1505518763797,1725.5011431448477
Bryansk Oblast,14,2025,99,2843.841975308642,1516.489508160716
Tomsk Oblast,14,2065,94,2803.0406779661016,1715.188698219606
Samara Oblast,14,2085,83,2700.1208633093524,1589.4543949549043
Kalmykiya Republic,13,1925,107,3053.484155844156,1521.8141294370212
Yaroslavl Oblast,13,1745,88,3052.991977077364,1532.0896728167306
Tyumen Oblast,13,2015,99,2761.6208436724564,1600.6673571515119
Pskov Oblast,13,2030,96,2590.2172413793105,1624.790523398142
Tambov Oblast,12,1910,99,2944.57277486911,1555.8832473096404
Udmurtiya Republic,12,1810,105,2882.7983425414363,1527.055365094387
Kabardino-Balkariya Republic,12,1865,91,2825.597855227882,1635.8273817032116
Chuvash Republic,11,1685,95,2945.7964391691394,1544.0398072962726
Ivanovo Oblast,10,1665,96,2997.687087087087,1592.1635816882251
Belgorod Oblast,10,1315,81,2949.4060836501903,1566.9813884019072
Mordoviya Republic,10,1620,98,2704.3734567901233,1615.8937814717783
Chechnya,9,1275,88,2969.486274509804,1584.614925329279
Penza Oblast,8,1185,78,3068.9569620253164,1541.441026380893
Kurgan Oblast,8,1190,78,2847.4436974789915,1644.036166700192
Kursk Oblast,8,1145,80,2793.3021834061137,1590.0230295342828
Mariy-El Republic,8,1290,83,2511.11007751938,1527.7593133952369
Lipetsk Oblast,7,1015,75,2876.7566502463055,1626.7476261863928
Oryol oblast,7,1115,91,2822.2798206278026,1569.29289286093
Karachayevo-Cherkesiya Republic,6,910,72,3026.8956043956046,1707.841414094108
Kaluga Oblast,6,860,66,2920.702325581395,1566.2729393985796
Adygeya Republic,6,915,69,2717.2830601092896,1636.6904403315257
Ryazan Oblast,6,920,75,2643.246739130435,1593.725737748901
North Ossetia–Alania,5,730,68,3222.7986301369865,1499.2080783500014
Moscow,3,470,60,3470.553191489362,1388.4788815885795
Ingushetiya Republic,2,270,40,3605.9555555555557,1220.670625436063
North Ossetia�Alania,2,260,29,2861.7115384615386,1550.971116833411
Lapland,1,145,29,3977.2275862068964,1077.9007167179502
77.18591374764495,1,100,20,3727.29,1438.0582414839814
49.90514995732867,1,100,20,3727.29,1438.0582414839814
46.53220788010678,1,100,20,3727.29,1438.0582414839814
32.887961709046515,1,100,20,3727.29,1438.0582414839814
31.13476877237606,1,100,20,3727.29,1438.0582414839814
46.6213,1,70,14,3605.385714285714,1291.5149497819236
44.64555,1,70,14,3605.385714285714,1291.5149497819236
42.5092,1,70,14,3605.385714285714,1291.5149497819236
39.92743,1,70,14,3605.385714285714,1291.5149497819236
124.800784,1,70,14,3605.385714285714,1291.5149497819236
Warmia-Masuria,1,160,32,3583.525,1337.808445508923
49.064596448969,1,95,19,3570.694736842105,1577.2590887771719
41.87636403463345,1,95,19,3570.694736842105,1577.2590887771719
36.72505583836269,1,95,19,3570.694736842105,1577.2590887771719
33.24807761273183,1,95,19,3570.694736842105,1577.2590887771719
107.5818859804906,1,95,19,3570.694736842105,1577.2590887771719
44.77120553694893,1,80,16,3557.6875,1318.5920198620001
44.07601482468421,1,80,16,3557.6875,1318.5920198620001
42.14587180566833,1,80,16,3557.6875,1318.5920198620001
